Method,500,1000,5000,10000
sp_1,22190.838094189778,42348.91616374281,201563.3788312975,393919.19836131803
sp_2,22190.838094189763,42348.91616374281,201563.37883129754,393919.19836132094
sp_3,22190.838094189778,42348.91616374283,201563.3788312977,393919.19836131897
pmed_1,22199.24555846901,42574.870368641445,202189.65714615516,394220.60131918354
pmed_2,22179.427636065382,42682.21742496293,202165.69113466897,394039.09519480023
pmed_3,22179.427636065382,42569.179809148896,201380.13804713255,394217.8662543394
pcst_1,22083.68378661657,41496.89525441203,197763.05738255192,389416.67932294647
pcst_2,22083.683786616548,41496.89525441199,197763.0573825511,389416.6793229474
pcst_3,22083.683786616544,41496.89525441203,197763.0573825516,389416.6793229449
nfmp_1,22045.50190089281,41514.73417248914,197534.25420058446,389559.24009748816
nfmp_2,22045.501900892796,41514.734179162464,197943.3268494326,390791.5432164151
nfmp_3,22045.501900892785,41514.73417248911,197915.34114583928,389547.5215118808
spamp_1,22179.427636065368,42571.83364809879,201073.40335889367,394109.25586915016
spamp_2,22181.450683445757,42578.9922366799,202188.04464931702,394003.9990706481
spamp_3,22168.988984872565,42577.0891026974,201050.88789882444,394005.9431395007
