         25437494 function calls (25298821 primitive calls) in 151.216 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.056    0.056  151.243  151.243 /Users/fkauker/Documents/code/test_data/solve.py:54(main)
        1    0.002    0.002  151.039  151.039 /Users/fkauker/Documents/code/link/link/solve/main.py:112(run_spamp)
        1    4.074    4.074  129.203  129.203 /Users/fkauker/Documents/code/link/link/solve/util.py:108(make_assi_graph)
    18737   26.481    0.001   96.071    0.005 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1849(shortest_path)
    18738   30.155    0.002   41.677    0.002 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1591(shortest_distance)
  1493659   28.642    0.000   28.642    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1768(vertex)
  2486504   19.720    0.000   21.479    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:441(__getitem__)
        1    0.001    0.001   20.719   20.719 /Users/fkauker/Documents/code/link/link/solve/spamp.py:13(solve)
        1    0.000    0.000   20.067   20.067 /Users/fkauker/Documents/code/link/link/solve/spamp.py:71(run_mdl)
        1    0.000    0.000   20.044   20.044 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000   20.044   20.044 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.001    0.001   20.041   20.041 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000   19.975   19.975 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000   19.975   19.975 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1   19.974   19.974   19.975   19.975 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
    18738    0.035    0.000    8.570    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:1(copy_property)
37491/18743    0.237    0.000    8.537    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:126(wrapper)
    18738    4.647    0.000    8.043    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2367(copy_property)
    37476    0.378    0.000    2.425    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3093(__init__)
  1735186    2.345    0.000    2.345    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3250(_v_eq)
  2491608    1.284    0.000    1.763    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:405(__key_trans)
    37477    0.460    0.000    1.621    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1544(__init__)
   112435    0.386    0.000    1.527    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:383(__init__)
    37480    0.437    0.000    1.364    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2308(new_vertex_property)
   131165    0.368    0.000    1.219    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:166(_prop)
  2224992    0.967    0.000    0.967    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2593(is_directed)
    74948    0.059    0.000    0.832    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:560(get_array)
   508543    0.786    0.000    0.786    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3256(_v_ne)
  1469418    0.782    0.000    0.782    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3322(_edge_iter)
    74948    0.355    0.000    0.773    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:582(_get_data)
   131165    0.394    0.000    0.691    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:393(_get_any)
        1    0.004    0.004    0.640    0.640 /Users/fkauker/Documents/code/link/link/solve/spamp.py:38(formulation)
    18738    0.018    0.000    0.610    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2293(new_property)
        1    0.074    0.074    0.556    0.556 /Users/fkauker/Documents/code/link/link/solve/util.py:334(assi_to_path)
  2828895    0.540    0.000    0.540    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:548(key_type)
   149917    0.274    0.000    0.535    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:208(_type_alias)
   112435    0.156    0.000    0.530    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:270(_converter)
        1    0.031    0.031    0.509    0.509 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
   112435    0.372    0.000    0.416    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:428(__register_map)
   979612    0.413    0.000    0.413    0.000 {method 'insert' of 'list' objects}
   112435    0.072    0.000    0.391    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:438(__del__)
112436/112435    0.105    0.000    0.375    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:231(_python_type)
    18737    0.026    0.000    0.373    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:662(<lambda>)
    74948    0.155    0.000    0.366    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:914(__new__)
    18737    0.026    0.000    0.361    0.000 {method 'max' of 'numpy.ndarray' objects}
    18737    0.178    0.000    0.346    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:615(__get_set_f_array)
        3    0.026    0.009    0.346    0.115 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
      501    0.000    0.000    0.341    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2311(sum)
      501    0.001    0.000    0.340    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:113(sum)
      501    0.055    0.000    0.339    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:132(_sum_with_iter)
    18737    0.013    0.000    0.335    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/_methods.py:26(_amax)
    18737    0.323    0.000    0.323    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    93685    0.051    0.000    0.321    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/numeric.py:469(asarray)
   112435    0.280    0.000    0.319    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:433(__unregister_map)
        1    0.026    0.026    0.301    0.301 /Users/fkauker/Documents/code/link/link/solve/nx2gt.py:35(nx2gt)
   445509    0.163    0.000    0.275    0.000 {built-in method builtins.isinstance}
    93686    0.270    0.000    0.270    0.000 {built-in method numpy.array}
    74958    0.248    0.000    0.248    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3183(value_types)
        1    0.000    0.000    0.245    0.245 /Users/fkauker/Documents/code/link/link/solve/util.py:76(<listcomp>)
        2    0.000    0.000    0.245    0.123 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:78(connected_component_subgraphs)
        1    0.000    0.000    0.240    0.240 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:864(copy)
    18357    0.104    0.000    0.236    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:69(__getitem__)
   149912    0.213    0.000    0.213    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:552(value_type)
    23295    0.018    0.000    0.207    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:742(__iter__)
     2753    0.007    0.000    0.204    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:947(<genexpr>)
   112431    0.202    0.000    0.202    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1376(__init__)
   999709    0.195    0.000    0.195    0.000 {method 'add' of 'set' objects}
    69720    0.130    0.000    0.175    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:628(nodes)
