         3246561 function calls (3008739 primitive calls) in 37.081 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003   37.081   37.081 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.000    0.000   36.788   36.788 /Users/fkauker/Documents/code/link/link/solve/main.py:133(run_nfmp)
        1    0.001    0.001   35.568   35.568 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:12(solve)
        1    0.000    0.000   34.693   34.693 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:80(run_mdl)
        1    0.000    0.000   34.688   34.688 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000   34.688   34.688 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.000    0.000   34.686   34.686 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000   34.649   34.649 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000   34.649   34.649 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1   34.648   34.648   34.648   34.648 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
        1    0.049    0.049    0.977    0.977 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
        1    0.027    0.027    0.863    0.863 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:32(formulation)
        3    0.040    0.013    0.641    0.214 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
        1    0.000    0.000    0.554    0.554 /Users/fkauker/Documents/code/link/link/solve/util.py:76(<listcomp>)
        2    0.000    0.000    0.554    0.277 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:78(connected_component_subgraphs)
        1    0.000    0.000    0.547    0.547 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:864(copy)
     6228    0.004    0.000    0.426    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3001(add_constraint)
     6228    0.010    0.000    0.422    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2528(_add_constraint_internal)
    35308    0.027    0.000    0.421    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:742(__iter__)
     4171    0.011    0.000    0.415    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:947(<genexpr>)
     6228    0.008    0.000    0.375    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2540(_post_constraint)
     6227    0.007    0.000    0.345    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:356(__iter__)
     6228    0.007    0.000    0.339    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2419(_create_engine_constraint)
     6227    0.332    0.000    0.332    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:358(<genexpr>)
     6228    0.018    0.000    0.331    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:663(create_linear_constraint)
        1    0.033    0.033    0.261    0.261 /anaconda3/envs/link/lib/python3.6/json/__init__.py:120(dump)
     6228    0.009    0.000    0.254    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:655(_make_cplex_linear_ct)
     6228    0.039    0.000    0.239    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:97(fast_add_linear)
    97006    0.020    0.000    0.200    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:412(_iterencode)
259708/97006    0.085    0.000    0.180    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:333(_iterencode_dict)
131410/96998    0.049    0.000    0.158    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:277(_iterencode_list)
        1    0.000    0.000    0.139    0.139 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:953(to_directed)
        2    0.087    0.043    0.126    0.063 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:487(add_nodes_from)
52972/12456    0.053    0.000    0.116    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:132(deepcopy)
        1    0.000    0.000    0.111    0.111 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:864(to_undirected)
        1    0.006    0.006    0.107    0.107 /Users/fkauker/Documents/code/link/link/solve/util.py:220(match_solution)
     6228    0.031    0.000    0.104    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:1052(addrows)
     1565    0.095    0.000    0.096    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:442(add_node)
     6227    0.023    0.000    0.095    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1336(subtract)
        1    0.010    0.010    0.090    0.090 /Users/fkauker/Documents/code/link/link/solve/util.py:256(create_geojson)
     4170    0.002    0.000    0.079    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:332(__sub__)
    12456    0.022    0.000    0.079    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:236(_deepcopy_dict)
     4117    0.002    0.000    0.078    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2311(sum)
     4170    0.005    0.000    0.077    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:335(minus)
     4117    0.003    0.000    0.076    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:113(sum)
     6228    0.005    0.000    0.074    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/quadfact.py:129(new_xconstraint)
     4117    0.016    0.000    0.071    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:132(_sum_with_iter)
        3    0.000    0.000    0.069    0.023 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:1805(integer_var_dict)
        3    0.000    0.000    0.069    0.023 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:1552(_var_dict)
        3    0.001    0.000    0.069    0.023 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:384(new_var_dict)
     6228    0.015    0.000    0.069    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:510(_new_binary_constraint)
     4171    0.011    0.000    0.067    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:1002(<genexpr>)
        3    0.000    0.000    0.067    0.022 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:346(new_var_list)
    24934    0.010    0.000    0.058    0.000 {built-in method builtins.next}
     2057    0.001    0.000    0.055    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1542(__sub__)
     2057    0.002    0.000    0.054    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1489(minus)
    29154    0.013    0.000    0.053    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/utils.py:171(is_number)
     4171    0.004    0.000    0.053    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/operand.py:46(__le__)
     3129    0.026    0.000    0.050    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:69(__getitem__)
   263886    0.047    0.000    0.047    0.000 {built-in method builtins.isinstance}
     3032    0.004    0.000    0.046    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:37(__init__)
        1    0.011    0.011    0.045    0.045 /Users/fkauker/Documents/code/link/link/solve/util.py:81(make_prox_graph)
    12510    0.032    0.000    0.045    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:337(add_edge)
     6228    0.007    0.000    0.044    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:600(linear_ct_to_cplex)
    12467    0.004    0.000    0.043    0.000 /anaconda3/envs/link/lib/python3.6/contextlib.py:79(__enter__)
     3032    0.006    0.000    0.041    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:127(_set_coords)
     4171    0.005    0.000    0.037    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:928(<genexpr>)
     6228    0.008    0.000    0.036    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2487(_prepare_constraint)
    12456    0.009    0.000    0.036    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:220(chbmatrix)
     6227    0.006    0.000    0.036    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/utils.py:111(numpy_is_numeric)
     6228    0.022    0.000    0.034    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:608(make_cpx_linear_from_exprs)
    12510    0.012    0.000    0.034    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:416(__getitem__)
     8341    0.003    0.000    0.033    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:307(__rmul__)
     4170    0.004    0.000    0.033    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:29(__init__)
        1    0.002    0.002    0.030    0.030 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1517(_make_solution)
        3    0.000    0.000    0.030    0.010 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:236(_expand_names)
        3    0.003    0.001    0.030    0.010 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:244(<listcomp>)
        1    0.005    0.005    0.030    0.030 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/digraph.py:421(add_nodes_from)
   149669    0.028    0.000    0.030    0.000 {method 'get' of 'dict' objects}
    12467    0.011    0.000    0.030    0.000 /anaconda3/envs/link/lib/python3.6/contextlib.py:85(__exit__)
     6228    0.018    0.000    0.029    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/numerictypes.py:365(issubdtype)
     8342    0.008    0.000    0.029    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:294(times)
     2058    0.002    0.000    0.029    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:920(<genexpr>)
     4170    0.005    0.000    0.029    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:95(_set_coords)
     3032    0.026    0.000    0.029    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:191(geos_point_from_py)
     6228    0.009    0.000    0.028    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:996(_register_one_constraint)
    97006    0.028    0.000    0.028    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     8341    0.005    0.000    0.028    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:87(<lambda>)
     2057    0.002    0.000    0.027    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/operand.py:49(__eq__)
    12456    0.010    0.000    0.027    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:461(_to_linear_operand)
     3129    0.004    0.000    0.025    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:320(_get_coords)
     2058    0.001    0.000    0.025    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:1001(<genexpr>)
    12467    0.008    0.000    0.024    0.000 /anaconda3/envs/link/lib/python3.6/contextlib.py:157(helper)
    16684    0.019    0.000    0.024    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:805(<genexpr>)
     8341    0.006    0.000    0.023    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:59(str_flatten_tuple)
        3    0.009    0.003    0.023    0.008 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:371(<listcomp>)
     6228    0.003    0.000    0.022    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:231(Pylolmat_to_CHBmat)
    10349    0.015    0.000    0.021    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:910(__init__)
     4171    0.004    0.000    0.021    0.000 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:73(<genexpr>)
    14516    0.008    0.000    0.021    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1322(iter_terms)
    19958    0.021    0.000    0.021    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:222(empty)
    23731    0.016    0.000    0.021    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:628(nodes)
    14572    0.011    0.000    0.020    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:32(cpx_decode)
     6228    0.007    0.000    0.020    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/constr.py:355(__init__)
     3129    0.006    0.000    0.020    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:640(is_empty)
    12456    0.010    0.000    0.019    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_subinterfaces.py:1241(get_num)
