         24816659 function calls (24678439 primitive calls) in 148.171 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.039    0.039  148.198  148.198 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.001    0.001  148.008  148.008 /Users/fkauker/Documents/code/link/link/solve/main.py:112(run_spamp)
        1    4.180    4.180  129.234  129.234 /Users/fkauker/Documents/code/link/link/solve/util.py:108(make_assi_graph)
    18280   26.482    0.001   95.106    0.005 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1849(shortest_path)
    18281   28.697    0.002   40.402    0.002 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1591(shortest_distance)
  1446099   29.205    0.000   29.205    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1768(vertex)
  2407085   20.314    0.000   22.233    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:441(__getitem__)
        1    0.001    0.001   17.395   17.395 /Users/fkauker/Documents/code/link/link/solve/spamp.py:13(solve)
        1    0.000    0.000   16.800   16.800 /Users/fkauker/Documents/code/link/link/solve/spamp.py:71(run_mdl)
        1    0.000    0.000   16.778   16.778 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000   16.778   16.778 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.001    0.001   16.776   16.776 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000   16.708   16.708 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000   16.708   16.708 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1   16.707   16.707   16.707   16.707 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
    18281    0.036    0.000    8.774    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:1(copy_property)
36577/18286    0.238    0.000    8.739    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:126(wrapper)
    18281    4.744    0.000    8.138    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2367(copy_property)
    36562    0.379    0.000    2.426    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3093(__init__)
  1720968    2.319    0.000    2.319    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3250(_v_eq)
  2412187    1.364    0.000    1.922    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:405(__key_trans)
    36563    0.473    0.000    1.623    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1544(__init__)
   109693    0.403    0.000    1.526    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:383(__init__)
    36566    0.427    0.000    1.354    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2308(new_vertex_property)
   127966    0.364    0.000    1.223    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:166(_prop)
  2195073    0.963    0.000    0.963    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2593(is_directed)
    73120    0.059    0.000    0.849    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:560(get_array)
  1422315    0.795    0.000    0.795    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3322(_edge_iter)
    73120    0.355    0.000    0.790    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:582(_get_data)
   492385    0.765    0.000    0.765    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3256(_v_ne)
        1    0.037    0.037    0.742    0.742 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
   127966    0.396    0.000    0.695    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:393(_get_any)
  2741248    0.630    0.000    0.630    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:548(key_type)
    18281    0.018    0.000    0.607    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2293(new_property)
        1    0.060    0.060    0.600    0.600 /Users/fkauker/Documents/code/link/link/solve/util.py:334(assi_to_path)
   109693    0.230    0.000    0.592    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:270(_converter)
        1    0.007    0.007    0.582    0.582 /Users/fkauker/Documents/code/link/link/solve/spamp.py:38(formulation)
        3    0.037    0.012    0.549    0.183 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
   146261    0.259    0.000    0.525    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:208(_type_alias)
   109693    0.076    0.000    0.493    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:438(__del__)
