         1976600 function calls (1857432 primitive calls) in 11.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   11.006   11.006 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.000    0.000   10.813   10.813 /Users/fkauker/Documents/code/link/link/solve/main.py:133(run_nfmp)
        1    0.001    0.001   10.320   10.320 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:12(solve)
        1    0.000    0.000    9.665    9.665 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:80(run_mdl)
        1    0.000    0.000    9.660    9.660 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000    9.660    9.660 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.000    0.000    9.657    9.657 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000    9.632    9.632 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000    9.632    9.632 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1    9.631    9.631    9.632    9.632 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
        1    0.017    0.017    0.604    0.604 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:32(formulation)
        1    0.023    0.023    0.432    0.432 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
     4109    0.003    0.000    0.333    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3001(add_constraint)
     4109    0.006    0.000    0.330    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2528(_add_constraint_internal)
     4109    0.004    0.000    0.301    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2540(_post_constraint)
        3    0.023    0.008    0.300    0.100 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
     4109    0.005    0.000    0.279    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2419(_create_engine_constraint)
     4109    0.011    0.000    0.274    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:663(create_linear_constraint)
     4109    0.006    0.000    0.226    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:655(_make_cplex_linear_ct)
     4109    0.024    0.000    0.216    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:97(fast_add_linear)
        1    0.000    0.000    0.208    0.208 /Users/fkauker/Documents/code/link/link/solve/util.py:76(<listcomp>)
        2    0.000    0.000    0.208    0.104 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:78(connected_component_subgraphs)
        1    0.000    0.000    0.202    0.202 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:864(copy)
    23295    0.015    0.000    0.175    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:742(__iter__)
     2753    0.006    0.000    0.171    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:947(<genexpr>)
     4108    0.004    0.000    0.132    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:356(__iter__)
     4109    0.086    0.000    0.131    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:1052(addrows)
     4108    0.125    0.000    0.125    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:358(<genexpr>)
        1    0.015    0.015    0.118    0.118 /anaconda3/envs/link/lib/python3.6/json/__init__.py:120(dump)
    45918    0.009    0.000    0.091    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:412(_iterencode)
122924/45918    0.039    0.000    0.081    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:333(_iterencode_dict)
        1    0.000    0.000    0.079    0.079 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:953(to_directed)
62194/45910    0.022    0.000    0.072    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:277(_iterencode_list)
33534/8218    0.032    0.000    0.068    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:132(deepcopy)
        1    0.000    0.000    0.065    0.065 /anaconda3/envs/link/lib/python3.6/json/__init__.py:274(load)
        1    0.000    0.000    0.065    0.065 /anaconda3/envs/link/lib/python3.6/json/__init__.py:302(loads)
        1    0.000    0.000    0.065    0.065 /anaconda3/envs/link/lib/python3.6/json/decoder.py:334(decode)
        1    0.065    0.065    0.065    0.065 /anaconda3/envs/link/lib/python3.6/json/decoder.py:345(raw_decode)
