         27424500 function calls (27284574 primitive calls) in 210.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.053    0.053  210.047  210.047 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.001    0.001  209.697  209.697 /Users/fkauker/Documents/code/link/link/solve/main.py:112(run_spamp)
        1    6.617    6.617  177.900  177.900 /Users/fkauker/Documents/code/link/link/solve/util.py:108(make_assi_graph)
    20108   36.969    0.002  130.659    0.006 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1849(shortest_path)
    20109   38.285    0.002   54.630    0.003 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1591(shortest_distance)
  1612819   39.505    0.000   39.505    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1768(vertex)
        1    0.003    0.003   30.118   30.118 /Users/fkauker/Documents/code/link/link/solve/spamp.py:13(solve)
  2685561   27.329    0.000   29.873    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:441(__getitem__)
        1    0.000    0.000   29.385   29.385 /Users/fkauker/Documents/code/link/link/solve/spamp.py:71(run_mdl)
        1    0.000    0.000   29.346   29.346 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000   29.346   29.346 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.001    0.001   29.343   29.343 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000   29.266   29.266 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000   29.266   29.266 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1   29.266   29.266   29.266   29.266 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
    20109    0.055    0.000   11.760    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:1(copy_property)
40233/20114    0.358    0.000   11.706    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:126(wrapper)
    20109    6.112    0.000   10.971    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2367(copy_property)
    40218    0.557    0.000    3.474    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3093(__init__)
  1917034    3.270    0.000    3.270    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3250(_v_eq)
  2690671    1.875    0.000    2.550    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:405(__key_trans)
    40219    0.687    0.000    2.312    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1544(__init__)
   120661    0.554    0.000    2.096    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:383(__init__)
    40222    0.667    0.000    2.026    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2308(new_vertex_property)
   140762    0.498    0.000    1.719    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:166(_prop)
  2446103    1.488    0.000    1.488    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2593(is_directed)
    80432    0.093    0.000    1.372    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:560(get_array)
    80432    0.583    0.000    1.279    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:582(_get_data)
   549177    1.245    0.000    1.245    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3256(_v_ne)
  1587207    1.242    0.000    1.242    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3322(_edge_iter)
