         87227063 function calls (86942636 primitive calls) in 479.719 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.171    0.171  479.773  479.773 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.003    0.003  479.336  479.336 /Users/fkauker/Documents/code/link/link/solve/main.py:112(run_spamp)
        1   14.606   14.606  409.540  409.540 /Users/fkauker/Documents/code/link/link/solve/util.py:108(make_assi_graph)
    38025   99.383    0.003  283.168    0.007 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1849(shortest_path)
  6111606  110.962    0.000  110.962    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1768(vertex)
 10184785   76.921    0.000   84.063    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:441(__getitem__)
    38026   56.568    0.001   78.608    0.002 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1591(shortest_distance)
        1    0.003    0.003   66.353   66.353 /Users/fkauker/Documents/code/link/link/solve/spamp.py:13(solve)
        1    0.000    0.000   65.377   65.377 /Users/fkauker/Documents/code/link/link/solve/spamp.py:71(run_mdl)
        1    0.000    0.000   65.322   65.322 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000   65.322   65.322 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.001    0.001   65.319   65.319 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000   65.179   65.179 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000   65.179   65.179 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1   65.178   65.178   65.179   65.179 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
    38026    0.070    0.000   16.352    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:1(copy_property)
76067/38031    0.454    0.000   16.284    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:126(wrapper)
