         90149459 function calls (89862107 primitive calls) in 504.626 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.185    0.185  504.679  504.679 /Users/fkauker/Documents/code/test_data/solve.py:54(main)
        1    0.015    0.015  504.219  504.219 /Users/fkauker/Documents/code/link/link/solve/main.py:112(run_spamp)
        1   13.766   13.766  416.566  416.566 /Users/fkauker/Documents/code/link/link/solve/util.py:108(make_assi_graph)
    40950  101.420    0.002  293.164    0.007 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1849(shortest_path)
  6280260  110.551    0.000  110.551    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1768(vertex)
    40951   61.995    0.002   84.591    0.002 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1591(shortest_distance)
        1    0.003    0.003   84.132   84.132 /Users/fkauker/Documents/code/link/link/solve/spamp.py:13(solve)
 10466850   77.317    0.000   83.879    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:441(__getitem__)
        1    0.000    0.000   82.885   82.885 /Users/fkauker/Documents/code/link/link/solve/spamp.py:71(run_mdl)
        1    0.000    0.000   82.831   82.831 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000   82.831   82.831 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.001    0.001   82.827   82.827 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000   82.700   82.700 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000   82.700   82.700 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1   82.699   82.699   82.700   82.700 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
    40951    0.065    0.000   16.916    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:1(copy_property)
81917/40956    0.455    0.000   16.852    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:126(wrapper)
    40951    9.411    0.000   15.902    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2367(copy_property)
  6675662    8.231    0.000    8.231    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3250(_v_eq)
 10475111    4.739    0.000    6.567    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:405(__key_trans)
    81902    0.734    0.000    4.570    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3093(__init__)
  8752652    3.437    0.000    3.437    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2593(is_directed)
  6230970    3.043    0.000    3.043    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3322(_edge_iter)
    81903    0.877    0.000    3.001    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1544(__init__)
   245713    0.758    0.000    2.853    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:383(__init__)
  2117940    2.845    0.000    2.845    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3256(_v_ne)
