         963534988 function calls (962063315 primitive calls) in 5492.649 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.694    2.694 5492.974 5492.974 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.094    0.094 5488.594 5488.594 /Users/fkauker/Documents/code/link/link/solve/main.py:112(run_spamp)
        1  163.798  163.798 4521.696 4521.696 /Users/fkauker/Documents/code/link/link/solve/util.py:108(make_assi_graph)
   216675 1175.352    0.005 3023.407    0.014 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1849(shortest_path)
 74292120 1319.145    0.000 1319.145    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1768(vertex)
123815345  915.070    0.000  999.656    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:441(__getitem__)
        1    0.014    0.014  928.602  928.602 /Users/fkauker/Documents/code/link/link/solve/spamp.py:13(solve)
        1    0.000    0.000  922.354  922.354 /Users/fkauker/Documents/code/link/link/solve/spamp.py:71(run_mdl)
        1    0.000    0.000  922.052  922.052 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000  922.052  922.052 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.008    0.008  922.045  922.045 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000  921.345  921.345 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000  921.345  921.345 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1  921.343  921.343  921.344  921.344 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
   216676  480.588    0.002  612.774    0.003 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1591(shortest_distance)
   216676    0.443    0.000   97.146    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:1(copy_property)
433367/216681    2.634    0.000   96.703    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:126(wrapper)
 81517022   95.531    0.000   95.531    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3250(_v_eq)
   216676   54.952    0.000   91.360    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2367(copy_property)
123859503   59.232    0.000   84.615    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:405(__key_trans)
106193421   39.869    0.000   39.869    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2593(is_directed)
 74029197   36.131    0.000   36.131    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3322(_edge_iter)
 24893074   31.719    0.000   31.719    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3256(_v_ne)
127759674   26.136    0.000   26.136    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:548(key_type)
   433352    4.079    0.000   25.439    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3093(__init__)
        1    2.686    2.686   21.830   21.830 /Users/fkauker/Documents/code/link/link/solve/util.py:334(assi_to_path)
 49352798   19.387    0.000   19.387    0.000 {method 'insert' of 'list' objects}
   433353    5.147    0.000   16.862    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1544(__init__)
        1    0.235    0.235   15.872   15.872 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
  1300063    4.374    0.000   15.811    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:383(__init__)
   433356    4.843    0.000   15.618    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2308(new_vertex_property)
       45    0.253    0.006   14.510    0.322 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
  1516731    3.842    0.000   13.620    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:166(_prop)
        1    0.000    0.000   13.578   13.578 /Users/fkauker/Documents/code/link/link/solve/util.py:76(<listcomp>)
       44    0.001    0.000   13.578    0.309 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:78(connected_component_subgraphs)
       43    0.000    0.000   13.534    0.315 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:864(copy)
   201299    0.183    0.000   13.070    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:742(__iter__)
    24461    0.086    0.000   13.064    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:947(<genexpr>)
    36404    0.055    0.000   12.549    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:356(__iter__)
    36404   12.446    0.000   12.446    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:358(<genexpr>)
   866700    0.639    0.000    9.734    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:560(get_array)
   866700    4.546    0.000    9.095    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:582(_get_data)
 49581463    8.800    0.000    8.800    0.000 {method 'add' of 'set' objects}
   798097    3.902    0.000    8.797    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:69(__getitem__)
  1516731    4.242    0.000    8.067    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:393(_get_any)
   216676    0.201    0.000    6.582    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2293(new_property)
  1733421    3.519    0.000    6.286    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:208(_type_alias)
        1    0.047    0.047    6.194    6.194 /Users/fkauker/Documents/code/link/link/solve/spamp.py:38(formulation)
   216675    0.337    0.000    6.080    0.000 {method 'max' of 'numpy.ndarray' objects}
  1300063    1.958    0.000    5.872    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:270(_converter)
   216675    0.160    0.000    5.743    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/_methods.py:26(_amax)
   216675    5.583    0.000    5.583    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   216675    0.333    0.000    5.069    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:662(<lambda>)
   798097    0.804    0.000    5.049    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:320(_get_coords)
   216675    2.914    0.000    4.736    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:615(__get_set_f_array)
  1300063    0.841    0.000    4.094    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:438(__del__)
   798097    1.371    0.000    4.039    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:640(is_empty)
   866700    1.698    0.000    3.980    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:914(__new__)
 25012579    3.973    0.000    3.973    0.000 {method 'append' of 'list' objects}
1300064/1300063    1.141    0.000    3.915    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:231(_python_type)
  1300063    3.121    0.000    3.519    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:428(__register_map)
  1083375    0.570    0.000    3.481    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/numeric.py:469(asarray)
  5670075    1.856    0.000    3.291    0.000 {built-in method builtins.isinstance}
  1300063    2.845    0.000    3.253    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:433(__unregister_map)
   798097    1.576    0.000    3.027    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:48(__len__)
  1083376    2.911    0.000    2.911    0.000 {built-in method numpy.array}
  1596194    2.605    0.000    2.842    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:44(_update)
   415299    0.327    0.000    2.811    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:29(__init__)
     4863    0.004    0.000    2.675    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2311(sum)
     4863    0.005    0.000    2.671    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:113(sum)
     4863    0.429    0.000    2.663    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:132(_sum_with_iter)
   866710    2.616    0.000    2.616    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3183(value_types)
