         17618604 function calls (16395042 primitive calls) in 1822.377 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.015    0.015 1822.377 1822.377 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.001    0.001 1820.739 1820.739 /Users/fkauker/Documents/code/link/link/solve/main.py:133(run_nfmp)
        1    0.008    0.008 1805.957 1805.957 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:12(solve)
        1    0.000    0.000 1800.422 1800.422 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:80(run_mdl)
        1    0.000    0.000 1800.385 1800.385 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000 1800.385 1800.385 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.001    0.001 1800.382 1800.382 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000 1800.143 1800.143 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000 1800.143 1800.143 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1 1800.140 1800.140 1800.143 1800.143 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
        1    0.218    0.218   14.053   14.053 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
       45    0.232    0.005   12.691    0.282 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
        1    0.000    0.000   11.694   11.694 /Users/fkauker/Documents/code/link/link/solve/util.py:76(<listcomp>)
       44    0.001    0.000   11.694    0.266 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:78(connected_component_subgraphs)
       43    0.000    0.000   11.649    0.271 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:864(copy)
   201299    0.167    0.000   11.325    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:742(__iter__)
    24461    0.073    0.000   11.308    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:947(<genexpr>)
    36404    0.050    0.000   10.855    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:356(__iter__)
    36404   10.762    0.000   10.762    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:358(<genexpr>)
        1    0.160    0.160    5.305    5.305 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:32(formulation)
    34439    0.022    0.000    2.651    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3001(add_constraint)
    34439    0.056    0.000    2.629    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2528(_add_constraint_internal)
    34439    0.040    0.000    2.356    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2540(_post_constraint)
    34439    0.044    0.000    2.153    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2419(_create_engine_constraint)
    34439    0.103    0.000    2.103    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:663(create_linear_constraint)
    34439    0.073    0.000    1.647    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:655(_make_cplex_linear_ct)
    34439    0.226    0.000    1.538    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:97(fast_add_linear)
        1    0.158    0.158    1.288    1.288 /anaconda3/envs/link/lib/python3.6/json/__init__.py:120(dump)
   490926    0.098    0.000    0.981    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:412(_iterencode)
1314398/490926    0.412    0.000    0.883    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:333(_iterencode_dict)
        1    0.000    0.000    0.870    0.870 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:953(to_directed)
665114/490918    0.243    0.000    0.778    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:277(_iterencode_list)
    34439    0.301    0.000    0.739    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:1052(addrows)
296554/70844    0.299    0.000    0.652    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:132(deepcopy)
        1    0.000    0.000    0.612    0.612 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:864(to_undirected)
    34438    0.133    0.000    0.553    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1336(subtract)
        3    0.000    0.000    0.492    0.164 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:1805(integer_var_dict)
        3    0.000    0.000    0.492    0.164 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:1552(_var_dict)
        3    0.007    0.002    0.492    0.164 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:384(new_var_dict)
        3    0.000    0.000    0.477    0.159 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:346(new_var_list)
    23124    0.012    0.000    0.476    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:332(__sub__)
    23124    0.028    0.000    0.464    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:335(minus)
    22631    0.014    0.000    0.464    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2311(sum)
    22631    0.019    0.000    0.449    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:113(sum)
    70844    0.126    0.000    0.449    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:236(_deepcopy_dict)
    34439    0.031    0.000    0.441    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/quadfact.py:129(new_xconstraint)
        1    0.042    0.042    0.425    0.425 /Users/fkauker/Documents/code/link/link/solve/util.py:256(create_geojson)
    22631    0.096    0.000    0.418    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:132(_sum_with_iter)
    34439    0.088    0.000    0.410    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:510(_new_binary_constraint)
    23125    0.053    0.000    0.356    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:1002(<genexpr>)
   137778    0.060    0.000    0.338    0.000 {built-in method builtins.next}
    23125    0.026    0.000    0.320    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/operand.py:46(__le__)
   161392    0.080    0.000    0.314    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/utils.py:171(is_number)
    11314    0.006    0.000    0.305    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1542(__sub__)
    71960    0.071    0.000    0.299    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:416(__getitem__)
    11314    0.011    0.000    0.299    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1489(minus)
        1    0.000    0.000    0.280    0.280 /anaconda3/envs/link/lib/python3.6/json/__init__.py:274(load)
        1    0.000    0.000    0.275    0.275 /anaconda3/envs/link/lib/python3.6/json/__init__.py:302(loads)
        1    0.000    0.000    0.275    0.275 /anaconda3/envs/link/lib/python3.6/json/decoder.py:334(decode)
        1    0.241    0.241    0.275    0.275 /anaconda3/envs/link/lib/python3.6/json/decoder.py:345(raw_decode)
    70666    0.167    0.000    0.271    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:337(add_edge)
    34439    0.043    0.000    0.261    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:600(linear_ct_to_cplex)
    68889    0.028    0.000    0.253    0.000 /anaconda3/envs/link/lib/python3.6/contextlib.py:79(__enter__)
  1394893    0.253    0.000    0.253    0.000 {built-in method builtins.isinstance}
