         25797326 function calls (23699534 primitive calls) in 1837.393 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.460    0.460 /anaconda3/envs/link/lib/python3.6/json/__init__.py:302(loads)
        1    0.000    0.000    0.460    0.460 /anaconda3/envs/link/lib/python3.6/json/decoder.py:334(decode)
        1    0.399    0.399    0.460    0.460 /anaconda3/envs/link/lib/python3.6/json/decoder.py:345(raw_decode)
        3    0.000    0.000    0.452    0.151 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:1805(integer_var_dict)
        3    0.001    0.000    0.452    0.151 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:1552(_var_dict)
        3    0.013    0.004    0.452    0.151 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:384(new_var_dict)
   184902    0.078    0.000    0.442    0.000 {built-in method builtins.next}
        3    0.000    0.000    0.429    0.143 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:346(new_var_list)
    15241    0.009    0.000    0.418    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1542(__sub__)
    30979    0.036    0.000    0.416    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/operand.py:46(__le__)
   216370    0.103    0.000    0.414    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/utils.py:171(is_number)
   123916    0.374    0.000    0.411    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:805(<genexpr>)
    15241    0.016    0.000    0.410    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1489(minus)
  2174830    0.374    0.000    0.374    0.000 {built-in method builtins.isinstance}
    25610    0.026    0.000    0.355    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:37(__init__)
       44    0.062    0.001    0.351    0.008 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:487(add_nodes_from)
    92451    0.217    0.000    0.347    0.000 /anaconda3/envs/link/lib/python3.6/contextlib.py:157(helper)
    46220    0.058    0.000    0.345    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:600(linear_ct_to_cplex)
    92451    0.037    0.000    0.333    0.000 /anaconda3/envs/link/lib/python3.6/contextlib.py:79(__enter__)
    25610    0.040    0.000    0.325    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:127(_set_coords)
        1    0.024    0.024    0.303    0.303 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1517(_make_solution)
    95014    0.228    0.000    0.296    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:337(add_edge)
    33059    0.042    0.000    0.286    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:928(<genexpr>)
    46220    0.065    0.000    0.283    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2487(_prepare_constraint)
    97094    0.100    0.000    0.280    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:416(__getitem__)
    92440    0.066    0.000    0.277    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:220(chbmatrix)
    33058    0.021    0.000    0.276    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:29(__init__)
    46219    0.045    0.000    0.270    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/utils.py:111(numpy_is_numeric)
    46220    0.172    0.000    0.270    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:608(make_cpx_linear_from_exprs)
        1    0.037    0.037    0.268    0.268 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/digraph.py:421(add_nodes_from)
    33058    0.033    0.000    0.255    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:95(_set_coords)
    61957    0.028    0.000    0.253    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:307(__rmul__)
  1167057    0.230    0.000    0.248    0.000 {method 'get' of 'dict' objects}
    25610    0.228    0.000    0.246    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:191(geos_point_from_py)
