         25809297 function calls (23712971 primitive calls) in 1841.146 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.018    0.018 1841.146 1841.146 /Users/fkauker/Documents/code/test_data/solve.py:54(main)
        1    0.001    0.001 1838.525 1838.525 /Users/fkauker/Documents/code/link/link/solve/main.py:133(run_nfmp)
        1    0.014    0.014 1807.970 1807.970 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:12(solve)
        1    0.000    0.000 1800.570 1800.570 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:80(run_mdl)
        1    0.000    0.000 1800.519 1800.519 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000 1800.519 1800.519 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.002    0.002 1800.515 1800.515 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000 1800.143 1800.143 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000 1800.143 1800.143 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1 1800.141 1800.141 1800.142 1800.142 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
        1    0.351    0.351   29.343   29.343 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
       45    0.377    0.008   27.270    0.606 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
        1    0.000    0.000   25.645   25.645 /Users/fkauker/Documents/code/link/link/solve/util.py:76(<listcomp>)
       44    0.001    0.000   25.645    0.583 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:78(connected_component_subgraphs)
       43    0.000    0.000   25.585    0.595 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:864(copy)
    33101    0.136    0.000   25.017    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:947(<genexpr>)
   271595    0.268    0.000   24.987    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:742(__iter__)
    49364    0.093    0.000   24.214    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:356(__iter__)
    49364   24.044    0.000   24.044    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:358(<genexpr>)
        1    0.210    0.210    7.054    7.054 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:32(formulation)
    46220    0.032    0.000    3.479    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3001(add_constraint)
    46220    0.074    0.000    3.447    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2528(_add_constraint_internal)
    46220    0.052    0.000    3.088    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2540(_post_constraint)
