         1114505587 function calls (1113008139 primitive calls) in 13571.027 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.869    2.869 13571.394 13571.394 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    2.625    2.625 13566.486 13566.486 /Users/fkauker/Documents/code/link/link/solve/main.py:112(run_spamp)
        1  178.275  178.275 12408.042 12408.042 /Users/fkauker/Documents/code/link/link/solve/util.py:108(make_assi_graph)
   250380 1327.835    0.005 10634.610    0.042 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1849(shortest_path)
 86349387 8790.877    0.000 8790.877    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1768(vertex)
143922025 1048.039    0.000 1135.663    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:441(__getitem__)
        1    0.017    0.017 1115.732 1115.732 /Users/fkauker/Documents/code/link/link/solve/spamp.py:13(solve)
        1    0.000    0.000 1108.616 1108.616 /Users/fkauker/Documents/code/link/link/solve/spamp.py:71(run_mdl)
        1    0.000    0.000 1108.300 1108.300 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000 1108.299 1108.299 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.008    0.008 1108.296 1108.296 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000 1107.326 1107.326 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000 1107.325 1107.325 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1 1107.324 1107.324 1107.325 1107.325 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
   250381  539.900    0.002  687.927    0.003 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1591(shortest_distance)
   250381    0.456    0.000  110.941    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:1(copy_property)
500777/250386    2.832    0.000  110.486    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:126(wrapper)
 95201978  107.037    0.000  107.037    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3250(_v_eq)
   250381   63.749    0.000  104.611    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2367(copy_property)
143966197   64.106    0.000   87.654    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:405(__key_trans)
123886231   48.299    0.000   48.299    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2593(is_directed)
 86052759   44.565    0.000   44.565    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3322(_edge_iter)
 28934633   35.404    0.000   35.404    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3256(_v_ne)
   500762    4.509    0.000   28.601    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3093(__init__)
148473058   24.254    0.000   24.254    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:548(key_type)
 57368506   20.785    0.000   20.785    0.000 {method 'insert' of 'list' objects}
        1    2.620    2.620   20.581   20.581 /Users/fkauker/Documents/code/link/link/solve/util.py:334(assi_to_path)
   500763    5.503    0.000   19.106    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1544(__init__)
        1    0.226    0.226   18.060   18.060 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
  1502293    4.555    0.000   17.746    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:383(__init__)
       45    0.284    0.006   16.700    0.371 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
   500766    5.176    0.000   16.225    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2308(new_vertex_property)
        1    0.000    0.000   15.710   15.710 /Users/fkauker/Documents/code/link/link/solve/util.py:76(<listcomp>)
       44    0.001    0.000   15.710    0.357 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:78(connected_component_subgraphs)
       43    0.000    0.000   15.660    0.364 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:864(copy)
    24461    0.106    0.000   15.103    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:947(<genexpr>)
   201299    0.216    0.000   15.088    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:742(__iter__)
  1752666    4.293    0.000   14.973    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:166(_prop)
    36404    0.076    0.000   14.476    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:356(__iter__)
    36404   14.337    0.000   14.337    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:358(<genexpr>)
  1001520    0.697    0.000   10.579    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:560(get_array)
 57630876   10.468    0.000   10.468    0.000 {method 'add' of 'set' objects}
  1001520    4.825    0.000    9.882    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:582(_get_data)
   784493    3.526    0.000    9.139    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:69(__getitem__)
  1752666    4.653    0.000    8.822    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:393(_get_any)
   250381    0.210    0.000    7.349    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2293(new_property)
        1    0.053    0.053    7.053    7.053 /Users/fkauker/Documents/code/link/link/solve/spamp.py:38(formulation)
   250380    0.359    0.000    6.447    0.000 {method 'max' of 'numpy.ndarray' objects}
  1502293    1.999    0.000    6.367    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:270(_converter)
  2003061    3.137    0.000    6.249    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:208(_type_alias)
   250380    0.170    0.000    6.088    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/_methods.py:26(_amax)
   250380    5.917    0.000    5.917    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   250380    0.360    0.000    5.501    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:662(<lambda>)
   250380    3.144    0.000    5.141    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:615(__get_set_f_array)
   784493    0.783    0.000    4.725    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:320(_get_coords)
  1001520    1.979    0.000    4.452    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:914(__new__)
  1502293    0.804    0.000    4.447    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:438(__del__)
1502294/1502293    1.285    0.000    4.368    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:231(_python_type)
  1502293    3.826    0.000    4.306    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:428(__register_map)
 29053914    4.300    0.000    4.300    0.000 {method 'append' of 'list' objects}
   784493    2.547    0.000    3.870    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:48(__len__)
   784493    1.262    0.000    3.760    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:640(is_empty)
  1251900    0.638    0.000    3.747    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/numeric.py:469(asarray)
  6291700    2.091    0.000    3.718    0.000 {built-in method builtins.isinstance}
  1502293    3.191    0.000    3.643    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:433(__unregister_map)
     4870    0.004    0.000    3.204    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2311(sum)
     4870    0.005    0.000    3.200    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:113(sum)
     4870    0.533    0.000    3.192    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:132(_sum_with_iter)
  1251901    3.110    0.000    3.110    0.000 {built-in method numpy.array}
  1001530    2.957    0.000    2.957    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3183(value_types)
  2003056    2.732    0.000    2.732    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:552(value_type)
   408560    0.325    0.000    2.708    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:29(__init__)
        2    0.000    0.000    2.604    1.302 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:1805(integer_var_dict)
        2    0.003    0.001    2.604    1.302 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:1552(_var_dict)
        2    0.065    0.033    2.601    1.300 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:384(new_var_dict)
  1568986    2.371    0.000    2.600    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:44(_update)
  1404163    1.926    0.000    2.595    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:628(nodes)
  1502289    2.539    0.000    2.539    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1376(__init__)
        2    0.000    0.000    2.486    1.243 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:346(new_var_list)
        1    0.183    0.183    2.437    2.437 /Users/fkauker/Documents/code/link/link/solve/nx2gt.py:35(nx2gt)
   408560    0.472    0.000    2.383    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:95(_set_coords)
  1752666    2.316    0.000    2.316    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:811(reserve)
