         1977068 function calls (1857900 primitive calls) in 8.280 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    8.280    8.280 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.000    0.000    8.067    8.067 /Users/fkauker/Documents/code/link/link/solve/main.py:133(run_nfmp)
        1    0.001    0.001    7.545    7.545 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:12(solve)
        1    0.000    0.000    6.835    6.835 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:80(run_mdl)
        1    0.000    0.000    6.832    6.832 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3336(solve)
        1    0.000    0.000    6.832    6.832 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3468(_solve_local)
        1    0.000    0.000    6.829    6.829 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1388(solve)
        1    0.000    0.000    6.801    6.801 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:1081(solve)
        1    0.000    0.000    6.801    6.801 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:626(mipopt)
        1    6.800    6.800    6.801    6.801 {built-in method cplex._internal.py36_cplex1280.CPXXmipopt}
        1    0.019    0.019    0.653    0.653 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:32(formulation)
        1    0.024    0.024    0.454    0.454 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
     4109    0.003    0.000    0.363    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:3001(add_constraint)
     4109    0.007    0.000    0.360    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2528(_add_constraint_internal)
     4109    0.005    0.000    0.328    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2540(_post_constraint)
        3    0.024    0.008    0.317    0.106 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
     4109    0.005    0.000    0.304    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2419(_create_engine_constraint)
     4109    0.012    0.000    0.298    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:663(create_linear_constraint)
     4109    0.007    0.000    0.246    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:655(_make_cplex_linear_ct)
     4109    0.027    0.000    0.235    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:97(fast_add_linear)
        1    0.000    0.000    0.223    0.223 /Users/fkauker/Documents/code/link/link/solve/util.py:76(<listcomp>)
        2    0.000    0.000    0.223    0.111 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:78(connected_component_subgraphs)
        1    0.000    0.000    0.219    0.219 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:864(copy)
    23295    0.017    0.000    0.187    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:742(__iter__)
     2753    0.007    0.000    0.185    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:947(<genexpr>)
     4109    0.091    0.000    0.141    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:1052(addrows)
     4108    0.005    0.000    0.140    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:356(__iter__)
        1    0.018    0.018    0.139    0.139 /anaconda3/envs/link/lib/python3.6/json/__init__.py:120(dump)
     4108    0.132    0.000    0.132    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:358(<genexpr>)
    45918    0.011    0.000    0.107    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:412(_iterencode)
122924/45918    0.044    0.000    0.096    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:333(_iterencode_dict)
62194/45910    0.027    0.000    0.085    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:277(_iterencode_list)
        1    0.000    0.000    0.081    0.081 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:953(to_directed)
33534/8218    0.032    0.000    0.070    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:132(deepcopy)
     4108    0.016    0.000    0.065    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1336(subtract)
        1    0.000    0.000    0.065    0.065 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:864(to_undirected)
        1    0.000    0.000    0.065    0.065 /anaconda3/envs/link/lib/python3.6/json/__init__.py:274(load)
        1    0.000    0.000    0.064    0.064 /anaconda3/envs/link/lib/python3.6/json/__init__.py:302(loads)
        1    0.000    0.000    0.064    0.064 /anaconda3/envs/link/lib/python3.6/json/decoder.py:334(decode)
        1    0.064    0.064    0.064    0.064 /anaconda3/envs/link/lib/python3.6/json/decoder.py:345(raw_decode)
     2752    0.001    0.000    0.057    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:332(__sub__)
     2752    0.003    0.000    0.056    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:335(minus)
     2715    0.002    0.000    0.054    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2311(sum)
        1    0.000    0.000    0.054    0.054 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:339(__init__)
     2715    0.002    0.000    0.052    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:113(sum)
     4109    0.004    0.000    0.051    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/quadfact.py:129(new_xconstraint)
     2715    0.011    0.000    0.048    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:132(_sum_with_iter)
     4109    0.010    0.000    0.047    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:510(_new_binary_constraint)
     8218    0.013    0.000    0.047    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:236(_deepcopy_dict)
        1    0.000    0.000    0.042    0.042 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:174(_make_environment)
        1    0.000    0.000    0.042    0.042 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/environment.py:238(get_default_env)
        1    0.000    0.000    0.042    0.042 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/environment.py:233(make_new_configured_env)
        1    0.000    0.000    0.042    0.042 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/environment.py:26(__init__)
    16458    0.007    0.000    0.041    0.000 {built-in method builtins.next}
     2753    0.006    0.000    0.038    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:1002(<genexpr>)
        3    0.000    0.000    0.038    0.013 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:1805(integer_var_dict)
        3    0.000    0.000    0.038    0.013 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:1552(_var_dict)
        3    0.001    0.000    0.038    0.013 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:384(new_var_dict)
    19244    0.009    0.000    0.038    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/utils.py:171(is_number)
     2753    0.003    0.000    0.037    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/operand.py:46(__le__)
     29/3    0.000    0.000    0.037    0.012 <frozen importlib._bootstrap>:966(_find_and_load)
     29/3    0.000    0.000    0.037    0.012 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
        1    0.005    0.005    0.036    0.036 /Users/fkauker/Documents/code/link/link/solve/util.py:256(create_geojson)
        3    0.000    0.000    0.036    0.012 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:346(new_var_list)
     29/3    0.000    0.000    0.036    0.012 <frozen importlib._bootstrap>:651(_load_unlocked)
     1356    0.001    0.000    0.036    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1542(__sub__)
     27/3    0.000    0.000    0.035    0.012 <frozen importlib._bootstrap_external>:672(exec_module)
     1356    0.001    0.000    0.035    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1489(minus)
        1    0.000    0.000    0.034    0.034 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/environment.py:136(auto_configure)
        1    0.000    0.000    0.034    0.034 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/environment.py:140(_check_cplex)
     45/3    0.000    0.000    0.033    0.011 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     53/3    0.000    0.000    0.033    0.011 {built-in method builtins.exec}
        1    0.000    0.000    0.032    0.032 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:34(<module>)
     8229    0.003    0.000    0.031    0.000 /anaconda3/envs/link/lib/python3.6/contextlib.py:79(__enter__)
     4109    0.005    0.000    0.031    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:600(linear_ct_to_cplex)
   207/67    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
    21/13    0.000    0.000    0.030    0.002 {built-in method builtins.__import__}
        1    0.000    0.000    0.028    0.028 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/aborter.py:12(<module>)
        1    0.000    0.000    0.028    0.028 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/__init__.py:15(<module>)
149139/149133    0.028    0.000    0.028    0.000 {built-in method builtins.isinstance}
        2    0.005    0.003    0.028    0.014 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:487(add_nodes_from)
     8218    0.006    0.000    0.026    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:220(chbmatrix)
     4108    0.004    0.000    0.025    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/utils.py:111(numpy_is_numeric)
     4109    0.006    0.000    0.025    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:2487(_prepare_constraint)
        1    0.006    0.006    0.025    0.025 /Users/fkauker/Documents/code/link/link/solve/util.py:81(make_prox_graph)
     8256    0.019    0.000    0.024    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:337(add_edge)
     4109    0.016    0.000    0.024    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:608(make_cpx_linear_from_exprs)
     5505    0.002    0.000    0.024    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:307(__rmul__)
     2753    0.003    0.000    0.022    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:928(<genexpr>)
     1813    0.002    0.000    0.021    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:37(__init__)
     5506    0.006    0.000    0.021    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:294(times)
     8229    0.008    0.000    0.021    0.000 /anaconda3/envs/link/lib/python3.6/contextlib.py:85(__exit__)
     4109    0.013    0.000    0.021    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/numerictypes.py:365(issubdtype)
        1    0.002    0.002    0.020    0.020 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:1517(_make_solution)
     8256    0.008    0.000    0.020    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:416(__getitem__)
     1481    0.010    0.000    0.020    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:69(__getitem__)
        1    0.003    0.003    0.020    0.020 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/digraph.py:421(add_nodes_from)
     4109    0.006    0.000    0.019    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:996(_register_one_constraint)
     1813    0.003    0.000    0.019    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:127(_set_coords)
     8218    0.006    0.000    0.019    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:461(_to_linear_operand)
    94900    0.017    0.000    0.018    0.000 {method 'get' of 'dict' objects}
     1356    0.002    0.000    0.018    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/operand.py:49(__eq__)
     8229    0.007    0.000    0.018    0.000 /anaconda3/envs/link/lib/python3.6/contextlib.py:157(helper)
     1357    0.001    0.000    0.017    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:920(<genexpr>)
     2752    0.002    0.000    0.017    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:29(__init__)
        3    0.000    0.000    0.016    0.005 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:236(_expand_names)
     1357    0.001    0.000    0.016    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:1001(<genexpr>)
        3    0.001    0.000    0.016    0.005 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:244(<listcomp>)
     2753    0.003    0.000    0.016    0.000 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:73(<genexpr>)
     4109    0.002    0.000    0.016    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:231(Pylolmat_to_CHBmat)
     2752    0.003    0.000    0.015    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:95(_set_coords)
     5505    0.003    0.000    0.015    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:87(<lambda>)
     9577    0.006    0.000    0.015    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1322(iter_terms)
     6828    0.011    0.000    0.015    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:910(__init__)
    45918    0.015    0.000    0.015    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     1813    0.012    0.000    0.014    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:191(geos_point_from_py)
     4109    0.005    0.000    0.014    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/constr.py:355(__init__)
     4109    0.014    0.000    0.014    0.000 {built-in method cplex._internal.py36_cplex1280.Pylolmat_to_CHBmat}
     8218    0.007    0.000    0.013    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_subinterfaces.py:1241(get_num)
     9617    0.007    0.000    0.013    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:32(cpx_decode)
    11012    0.010    0.000    0.013    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:805(<genexpr>)
       27    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     5506    0.007    0.000    0.013    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:607(__init__)
     2752    0.004    0.000    0.013    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:102(to_linear_expr)
     5505    0.003    0.000    0.012    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:59(str_flatten_tuple)
     4109    0.005    0.000    0.012    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/constr.py:517(is_trivial)
        1    0.000    0.000    0.012    0.012 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_subinterfaces.py:7565(get_values)
        1    0.000    0.000    0.012    0.012 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_aux_functions.py:121(apply_freeform_two_args)
     4109    0.011    0.000    0.011    0.000 {built-in method cplex._internal.py36_cplex1280.CPXXaddrows}
     8256    0.006    0.000    0.011    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1118(_add_term)
     4109    0.005    0.000    0.011    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:940(__notify_new_model_object)
    15103    0.008    0.000    0.011    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:628(nodes)
     8229    0.009    0.000    0.011    0.000 /anaconda3/envs/link/lib/python3.6/contextlib.py:59(__init__)
        1    0.000    0.000    0.011    0.011 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_list_array_utils.py:13(<module>)
     5504    0.009    0.000    0.011    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:331(add_edge)
        3    0.005    0.002    0.010    0.003 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:371(<listcomp>)
       27    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
       27    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
     1481    0.001    0.000    0.010    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:320(_get_coords)
     8221    0.006    0.000    0.010    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/__init__.py:389(_apienc)
    44616    0.009    0.000    0.009    0.000 {method 'update' of 'dict' objects}
    12214    0.009    0.000    0.009    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:222(empty)
     9588    0.006    0.000    0.009    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/six.py:586(iteritems)
        1    0.000    0.000    0.009    0.009 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_pycplex.py:11(<module>)
     4108    0.002    0.000    0.009    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:433(constant_expr)
     8256    0.006    0.000    0.009    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:389(edge_ok)
     8261    0.006    0.000    0.009    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/xcounter.py:244(update_dict_from_item_value)
     2752    0.009    0.000    0.009    0.000 {shapely.speedups._speedups.geos_linestring_from_py}
        1    0.000    0.000    0.008    0.008 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_pycplex.py:13(swig_import_helper)
       28    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.008    0.008 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:860(_make_new_engine_from_agent)
        1    0.000    0.000    0.008    0.008 /anaconda3/envs/link/lib/python3.6/imp.py:220(load_module)
        1    0.000    0.000    0.008    0.008 /anaconda3/envs/link/lib/python3.6/imp.py:166(load_source)
     8238    0.004    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_list_array_utils.py:89(double_c_array)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:674(_load)
     8218    0.006    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:252(_keep_alive)
        1    0.000    0.000    0.008    0.008 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_pycplex_platform.py:11(<module>)
        3    0.000    0.000    0.008    0.003 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:508(create_variables)
     1481    0.002    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:640(is_empty)
     5504    0.002    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:372(new_node_ok)
        1    0.000    0.000    0.008    0.008 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/engine_factory.py:73(new_engine)
        1    0.000    0.000    0.008    0.008 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:336(__init__)
        1    0.000    0.000    0.008    0.008 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/__init__.py:668(__init__)
        1    0.000    0.000    0.008    0.008 /anaconda3/envs/link/lib/python3.6/platform.py:801(architecture)
        1    0.000    0.000    0.008    0.008 /anaconda3/envs/link/lib/python3.6/platform.py:765(_syscmd_file)
     4442    0.007    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:223(floatstr)
        1    0.000    0.000    0.007    0.007 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/__init__.py:110(__init__)
     2715    0.003    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/aggregator.py:35(_to_expr)
     3084    0.001    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:233(__del__)
        3    0.000    0.000    0.007    0.002 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:523(_create_cpx_variables)
        1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap_external>:919(create_module)
        1    0.007    0.007    0.007    0.007 {built-in method _imp.create_dynamic}
        3    0.000    0.000    0.007    0.002 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/cplex_engine.py:906(fast_add_cols)
    10968    0.006    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:102(__getitem__)
     1358    0.001    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:970(clone_if_necessary)
        3    0.000    0.000    0.007    0.002 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:904(newcols)
     5764    0.003    0.000    0.007    0.000 {method 'join' of 'str' objects}
    65594    0.007    0.000    0.007    0.000 {built-in method builtins.id}
